age,home_country,destination_country,education,employment,monthly_income,travel_purpose,travel_history,criminal_record,english_level,visa_approved
22,India,UK,HighSchool,Unemployed,90771,Work,1,0,High,0
49,Nigeria,Australia,Masters,Unemployed,7525,Tourist,2,0,Medium,0
47,Nigeria,USA,Masters,Employed,61163,Tourist,1,0,Low,1
24,Philippines,Australia,HighSchool,Employed,95971,Work,0,0,Medium,0
47,Nigeria,Australia,HighSchool,Employed,76156,Study,1,0,Medium,0
27,India,Germany,HighSchool,Employed,30383,Work,0,1,High,0
32,India,USA,HighSchool,Unemployed,65848,Study,3,0,Low,0
47,Philippines,Australia,HighSchool,Employed,71402,Business,0,0,Low,0
32,Mexico,USA,Bachelors,Unemployed,74606,Study,1,0,Medium,0
36,Mexico,USA,Masters,Employed,55425,Study,3,0,Medium,1
25,India,Germany,HighSchool,Employed,50538,Study,1,1,High,0
34,India,USA,HighSchool,Employed,45716,Work,0,0,High,0
27,India,Germany,Bachelors,Unemployed,92564,Business,2,0,High,1
26,India,Australia,Masters,Employed,52375,Study,0,0,High,1
26,Nigeria,Germany,Masters,Employed,46929,Work,2,0,Low,1
30,Nigeria,UK,Masters,Employed,18808,Study,1,0,High,1
40,India,Canada,Bachelors,Employed,82448,Work,1,0,Medium,1
47,Brazil,USA,Masters,Unemployed,62124,Study,2,0,High,1
44,Nigeria,Australia,Bachelors,Employed,84370,Work,3,0,High,1
34,Nigeria,Canada,Masters,Employed,86295,Study,3,0,Medium,1
21,Nigeria,USA,Masters,Unemployed,34750,Study,1,0,Medium,0
42,Brazil,USA,Bachelors,Employed,78495,Work,0,0,Medium,0
22,Mexico,Australia,Masters,Employed,49821,Study,0,0,Low,0
18,Brazil,USA,HighSchool,Employed,96442,Work,0,0,High,0
37,Brazil,Germany,HighSchool,Employed,27993,Tourist,0,0,Medium,0
34,India,Germany,Bachelors,Unemployed,11726,Work,1,0,Low,0
28,Nigeria,Canada,Bachelors,Employed,73965,Business,1,0,Low,1
28,Nigeria,USA,Bachelors,Unemployed,22911,Tourist,1,0,Low,0
41,Mexico,Canada,Bachelors,Employed,11962,Work,0,0,Medium,0
47,Philippines,Australia,Masters,Employed,25524,Tourist,0,0,High,0
21,Mexico,Germany,Bachelors,Unemployed,94737,Study,2,0,High,1
22,Brazil,USA,Masters,Unemployed,9912,Study,0,0,Low,0
36,Brazil,Germany,Bachelors,Employed,79425,Business,0,1,High,0
42,Philippines,USA,HighSchool,Unemployed,66777,Study,3,0,Low,0
23,Brazil,Australia,Bachelors,Unemployed,76892,Work,3,0,High,1
28,Mexico,USA,Masters,Employed,23799,Tourist,3,0,Low,1
32,Brazil,Australia,HighSchool,Employed,60389,Tourist,2,0,Medium,1
40,Mexico,UK,HighSchool,Unemployed,36245,Study,3,0,High,0
43,Nigeria,Germany,Bachelors,Employed,84471,Work,3,0,Medium,1
23,Mexico,Canada,HighSchool,Unemployed,26033,Tourist,0,0,Low,0
21,Mexico,Canada,HighSchool,Unemployed,85727,Business,3,0,Medium,1
20,Brazil,Canada,Masters,Unemployed,5287,Study,0,0,Low,0
18,Mexico,Germany,Bachelors,Unemployed,48536,Tourist,3,0,Low,0
36,Philippines,Canada,Masters,Employed,79890,Study,2,1,Medium,0
36,India,Canada,Bachelors,Unemployed,94263,Tourist,3,0,Medium,1
39,India,USA,Masters,Employed,72784,Business,2,0,Medium,1
40,Nigeria,Canada,HighSchool,Unemployed,71821,Business,2,0,High,1
29,Nigeria,USA,Bachelors,Unemployed,63860,Work,3,0,Medium,1
25,Mexico,Canada,HighSchool,Employed,26661,Work,1,0,Low,0
27,India,USA,Bachelors,Unemployed,97008,Tourist,0,0,High,0
40,Brazil,Germany,HighSchool,Employed,31121,Business,2,0,Medium,1
25,Mexico,UK,Masters,Employed,61429,Work,1,0,Low,1
38,Philippines,USA,Bachelors,Employed,28325,Study,1,1,High,0
29,Mexico,Canada,Bachelors,Employed,8156,Tourist,3,0,High,1
45,Philippines,UK,Bachelors,Unemployed,41987,Business,0,0,Medium,0
18,Mexico,Germany,Masters,Employed,89271,Business,0,0,Medium,1
30,India,UK,Bachelors,Employed,57685,Business,0,0,High,1
40,India,Australia,HighSchool,Unemployed,60812,Work,2,1,Medium,0
35,Mexico,Canada,HighSchool,Employed,14835,Business,0,0,Medium,0
47,Mexico,Canada,Masters,Employed,75883,Work,2,1,Medium,0
46,Nigeria,USA,HighSchool,Unemployed,34352,Tourist,3,0,Medium,0
18,Mexico,USA,Masters,Unemployed,26278,Business,0,0,Low,0
47,Philippines,UK,HighSchool,Unemployed,18930,Study,2,0,High,0
28,Brazil,Canada,HighSchool,Employed,19792,Work,3,0,Medium,1
39,Philippines,USA,Masters,Unemployed,60406,Work,2,0,Low,0
28,India,UK,Bachelors,Unemployed,14577,Study,3,0,Medium,0
42,India,Canada,HighSchool,Unemployed,26004,Study,3,0,Low,0
19,Philippines,Germany,Bachelors,Unemployed,67331,Work,2,0,Low,0
35,Philippines,USA,HighSchool,Unemployed,45151,Tourist,2,0,Medium,0
47,Brazil,UK,Bachelors,Employed,10147,Tourist,3,1,Medium,0
19,Brazil,USA,Masters,Employed,50039,Tourist,2,0,Low,1
43,Mexico,Canada,Bachelors,Unemployed,65604,Study,2,0,High,1
39,India,Australia,Masters,Employed,43762,Business,3,0,High,1
28,India,Canada,Masters,Employed,51723,Study,2,0,Low,1
36,Brazil,Germany,HighSchool,Employed,85967,Work,2,0,Low,1
40,Philippines,USA,Bachelors,Unemployed,61460,Business,3,0,Medium,1
41,Nigeria,UK,HighSchool,Unemployed,28578,Tourist,1,0,High,0
37,Philippines,UK,Masters,Unemployed,47091,Business,2,0,Medium,0
22,Mexico,Germany,Masters,Unemployed,90136,Study,2,0,Low,1
18,Nigeria,UK,Masters,Employed,14052,Business,3,0,Low,0
48,India,Germany,Masters,Unemployed,31318,Business,2,0,Medium,1
40,Nigeria,Germany,Masters,Unemployed,29279,Study,1,0,Low,0
20,Brazil,UK,Masters,Unemployed,98943,Business,2,0,Medium,1
33,Mexico,Australia,Bachelors,Employed,44658,Work,2,0,High,1
39,Brazil,Australia,Bachelors,Unemployed,89717,Business,1,0,Low,0
26,Brazil,Germany,Bachelors,Employed,59224,Work,2,0,Low,1
18,Nigeria,UK,Masters,Employed,27153,Work,3,0,Low,1
20,Brazil,USA,Masters,Employed,59332,Tourist,1,0,Medium,1
41,Philippines,USA,Bachelors,Employed,75232,Business,3,0,Low,1
22,Nigeria,Canada,HighSchool,Unemployed,71315,Business,2,0,Medium,0
23,Brazil,USA,HighSchool,Employed,90930,Work,2,0,Medium,1
49,India,USA,HighSchool,Employed,23204,Business,0,0,Medium,0
20,Nigeria,Australia,Masters,Employed,39984,Tourist,1,0,High,1
34,India,Germany,HighSchool,Employed,20965,Business,2,1,Medium,0
45,Nigeria,Australia,Bachelors,Unemployed,25677,Work,0,0,High,0
25,Nigeria,UK,Bachelors,Employed,67233,Study,0,0,Medium,0
43,Brazil,USA,HighSchool,Employed,97562,Tourist,3,0,High,1
25,Philippines,Canada,Masters,Unemployed,74558,Study,0,0,High,1
19,Mexico,Canada,Masters,Unemployed,36580,Tourist,2,0,Low,0
41,Mexico,Germany,Bachelors,Employed,7427,Tourist,3,0,Low,0
26,India,Germany,HighSchool,Employed,62318,Tourist,2,0,Medium,1
46,Philippines,UK,HighSchool,Employed,63161,Study,2,0,High,1
44,India,Germany,Masters,Unemployed,19110,Tourist,3,0,High,1
36,India,UK,Bachelors,Unemployed,17955,Study,0,0,Low,0
30,Philippines,USA,Bachelors,Employed,19873,Work,2,0,High,1
24,Brazil,Canada,Bachelors,Employed,17896,Work,0,0,Medium,0
39,Nigeria,Germany,HighSchool,Unemployed,64157,Study,3,0,Low,0
18,Brazil,Australia,HighSchool,Employed,37082,Work,3,0,Medium,1
46,Mexico,Australia,Bachelors,Employed,83557,Tourist,0,0,Low,0
31,Mexico,USA,HighSchool,Unemployed,96948,Study,3,0,Low,0
26,Philippines,Australia,Masters,Employed,45366,Work,0,0,Medium,0
47,India,Australia,Masters,Unemployed,52459,Work,3,0,High,1
27,Mexico,UK,HighSchool,Employed,73298,Tourist,3,0,High,1
21,Mexico,USA,HighSchool,Employed,61358,Work,2,0,Low,0
32,Brazil,USA,HighSchool,Unemployed,55315,Study,1,0,Low,0
39,Brazil,USA,Masters,Employed,86996,Work,1,0,High,1
27,Brazil,USA,Bachelors,Employed,79821,Study,2,0,Low,1
23,Brazil,Canada,Bachelors,Employed,82254,Work,3,0,Low,1
25,Philippines,Australia,HighSchool,Unemployed,84158,Tourist,0,0,High,0
43,India,UK,HighSchool,Unemployed,63261,Tourist,0,1,Low,0
35,Nigeria,Germany,Bachelors,Employed,50855,Tourist,0,0,Medium,1
43,Mexico,USA,HighSchool,Employed,43141,Study,2,1,High,0
34,India,UK,Masters,Employed,28310,Study,1,1,Medium,0
48,Mexico,USA,HighSchool,Employed,75882,Work,0,1,High,0
23,India,UK,Masters,Unemployed,26883,Study,2,0,Medium,0
46,Mexico,Canada,Bachelors,Employed,9368,Study,2,0,Low,0
45,Brazil,USA,HighSchool,Unemployed,55396,Work,3,0,High,1
34,Mexico,USA,Bachelors,Unemployed,31548,Tourist,3,0,Medium,0
30,Philippines,USA,Masters,Employed,83446,Work,0,0,High,1
25,Nigeria,Canada,HighSchool,Unemployed,34495,Business,2,0,High,0
25,India,Canada,Masters,Unemployed,18344,Study,2,0,Low,0
44,Nigeria,Canada,HighSchool,Unemployed,80540,Tourist,3,0,High,1
28,Philippines,Germany,Bachelors,Unemployed,53370,Tourist,0,0,Medium,0
30,India,UK,Bachelors,Employed,16832,Business,1,0,Low,0
32,Nigeria,Canada,Masters,Employed,46509,Work,3,0,High,1
44,Brazil,UK,HighSchool,Unemployed,43657,Work,1,0,High,0
49,Philippines,Germany,Bachelors,Employed,51532,Study,3,0,Medium,1
20,India,USA,HighSchool,Unemployed,75232,Tourist,0,0,Low,0
28,India,Canada,HighSchool,Employed,43838,Business,1,0,Low,0
39,India,Australia,HighSchool,Unemployed,56804,Work,0,0,Medium,0
24,Mexico,Australia,HighSchool,Unemployed,71330,Study,3,0,High,1
30,India,Australia,Masters,Unemployed,51919,Study,3,1,Low,0
23,Brazil,Australia,Masters,Unemployed,18393,Tourist,0,0,High,0
32,Nigeria,Australia,Bachelors,Employed,32653,Business,0,0,Low,0
29,Brazil,USA,Masters,Employed,89697,Work,3,1,High,0
46,Mexico,Canada,Bachelors,Unemployed,57908,Tourist,0,0,Low,0
41,Nigeria,Australia,Masters,Unemployed,64942,Business,2,0,High,1
49,Mexico,USA,HighSchool,Employed,66712,Business,1,0,Low,0
19,Mexico,Germany,HighSchool,Unemployed,95436,Business,0,0,Medium,0
27,Nigeria,Australia,Masters,Unemployed,56880,Work,3,1,Low,0
30,Mexico,USA,Masters,Employed,33311,Study,1,0,Medium,1
21,Mexico,USA,Masters,Unemployed,90307,Work,1,0,Low,0
37,Nigeria,Australia,Bachelors,Unemployed,25596,Tourist,3,0,High,0
25,Mexico,Canada,HighSchool,Employed,32893,Study,1,0,Medium,0
41,Philippines,Canada,HighSchool,Employed,78682,Work,2,0,High,1
45,Mexico,Canada,Bachelors,Unemployed,78416,Study,3,0,Low,1
30,India,Germany,HighSchool,Employed,69539,Tourist,3,0,Medium,1
48,India,USA,Masters,Employed,81669,Tourist,1,0,High,1
48,Nigeria,Germany,HighSchool,Employed,56811,Business,1,0,Low,0
42,Brazil,Australia,HighSchool,Unemployed,55428,Study,0,1,Medium,0
43,India,Canada,HighSchool,Unemployed,56292,Work,2,0,High,1
18,Philippines,Australia,HighSchool,Employed,62880,Tourist,2,1,Low,0
37,Mexico,Germany,Masters,Employed,32340,Study,3,0,Medium,1
44,Nigeria,UK,Bachelors,Unemployed,98434,Tourist,2,0,Medium,0
27,Brazil,Germany,Bachelors,Employed,61519,Tourist,2,0,High,1
44,Mexico,USA,Bachelors,Unemployed,48125,Work,3,0,Medium,0
35,Philippines,UK,HighSchool,Unemployed,89886,Business,0,0,Medium,0
38,Philippines,UK,HighSchool,Employed,24576,Work,0,0,High,0
47,Brazil,UK,Masters,Unemployed,88245,Tourist,2,0,High,1
29,Brazil,USA,Masters,Unemployed,87580,Tourist,0,0,High,0
43,Brazil,Canada,HighSchool,Employed,23353,Work,3,0,Medium,1
28,Nigeria,Germany,Masters,Unemployed,85220,Tourist,2,1,Low,0
22,Mexico,USA,Masters,Unemployed,20825,Tourist,1,0,Medium,0
46,Mexico,USA,Masters,Unemployed,33732,Business,0,0,Medium,0
39,Nigeria,Australia,Masters,Employed,66410,Study,2,0,High,1
24,Philippines,Australia,Masters,Unemployed,95896,Study,2,0,Medium,1
28,Philippines,Australia,HighSchool,Unemployed,71783,Business,1,0,High,0
19,India,Germany,HighSchool,Unemployed,26797,Work,0,0,High,0
35,Nigeria,UK,Bachelors,Employed,99592,Tourist,3,0,Medium,1
31,Philippines,UK,Masters,Unemployed,27434,Study,3,0,Medium,0
42,Brazil,Australia,HighSchool,Unemployed,27320,Business,0,0,High,0
18,Brazil,UK,Bachelors,Employed,99506,Work,1,0,Medium,1
35,India,Canada,Masters,Unemployed,57383,Work,3,0,High,1
20,India,UK,Bachelors,Employed,57501,Tourist,2,0,Low,1
29,Philippines,Germany,Masters,Unemployed,25016,Work,0,0,Low,0
48,India,Germany,Masters,Employed,59367,Work,1,0,Low,1
20,Brazil,Germany,HighSchool,Employed,15324,Study,3,0,High,1
49,Philippines,Germany,Masters,Employed,43913,Work,1,0,High,1
49,Philippines,Canada,Bachelors,Unemployed,80551,Business,3,0,High,1
24,Mexico,UK,Masters,Unemployed,67030,Study,0,0,Low,0
21,Nigeria,USA,HighSchool,Employed,19791,Study,2,0,Low,0
19,India,Germany,Masters,Unemployed,70415,Tourist,0,0,Medium,0
38,Mexico,Canada,Masters,Employed,44117,Study,2,0,Low,1
45,India,UK,Bachelors,Employed,96523,Tourist,2,0,Medium,1
23,Brazil,USA,Bachelors,Unemployed,9040,Tourist,2,0,Medium,0
49,Philippines,Canada,Bachelors,Unemployed,87300,Business,3,1,Medium,0
22,Nigeria,Australia,Masters,Unemployed,67413,Tourist,2,1,High,0
30,Mexico,UK,HighSchool,Unemployed,20755,Business,3,0,High,0
43,Philippines,UK,Bachelors,Employed,80936,Study,0,0,Low,0
21,Brazil,Australia,Masters,Unemployed,69704,Work,1,0,Medium,0
22,Brazil,Canada,Bachelors,Employed,57851,Tourist,2,0,Medium,1
45,Philippines,Canada,Bachelors,Employed,26638,Business,0,0,Medium,0
26,Mexico,Canada,Masters,Unemployed,38161,Study,0,1,Low,0
22,India,USA,Bachelors,Unemployed,41957,Study,0,0,Low,0
40,Nigeria,Germany,Masters,Employed,99179,Business,0,0,Medium,1
39,Philippines,Canada,HighSchool,Employed,98490,Business,1,0,Low,0
34,Philippines,Canada,Masters,Unemployed,36748,Business,0,1,High,0
24,India,USA,Masters,Unemployed,85195,Tourist,1,0,High,1
33,Philippines,UK,Bachelors,Employed,41784,Tourist,1,0,Low,0
24,Brazil,Australia,Masters,Unemployed,12157,Tourist,1,0,High,0
30,India,UK,Masters,Employed,99182,Work,2,1,Medium,0
40,Nigeria,Germany,Bachelors,Employed,91496,Business,1,0,High,1
27,Brazil,USA,HighSchool,Employed,52358,Study,1,1,Low,0
43,Brazil,USA,HighSchool,Employed,96439,Work,0,0,Medium,0
43,Mexico,Australia,Bachelors,Unemployed,10754,Study,2,0,Low,0
47,India,Germany,Masters,Employed,55955,Business,3,0,Low,1
30,Philippines,UK,Bachelors,Unemployed,68990,Business,3,0,Medium,1
22,Philippines,Australia,Bachelors,Employed,6731,Work,3,0,High,1
40,Mexico,UK,Masters,Unemployed,44072,Business,2,0,Medium,0
27,India,Australia,HighSchool,Employed,38190,Tourist,2,0,Medium,0
43,Nigeria,Germany,Masters,Unemployed,94468,Work,1,0,High,1
41,Philippines,Germany,Masters,Unemployed,41122,Tourist,1,0,Low,0
29,Philippines,Germany,Bachelors,Employed,57351,Work,3,0,Medium,1
24,Nigeria,USA,Bachelors,Employed,14384,Work,3,0,Low,0
23,Mexico,Canada,Masters,Employed,63479,Tourist,2,0,Medium,1
33,India,UK,Masters,Unemployed,55587,Tourist,3,0,Medium,1
35,Brazil,Germany,Bachelors,Unemployed,62233,Study,1,0,Low,0
21,Mexico,Australia,Masters,Employed,33673,Study,1,0,Low,0
45,India,USA,Bachelors,Employed,33829,Business,2,0,Low,0
24,Philippines,USA,HighSchool,Employed,75061,Study,1,1,Medium,0
34,Nigeria,UK,Bachelors,Employed,94881,Work,3,0,Low,1
21,Mexico,Australia,Bachelors,Employed,92332,Study,1,0,High,1
44,Nigeria,Germany,Masters,Employed,97731,Study,0,0,High,1
43,Nigeria,USA,Masters,Unemployed,80816,Tourist,3,0,Low,1
19,India,Canada,Bachelors,Unemployed,98328,Tourist,2,0,Low,0
18,India,USA,HighSchool,Employed,83833,Work,2,0,Low,0
18,India,Australia,Masters,Employed,44916,Study,2,1,High,0
28,Brazil,USA,Bachelors,Unemployed,15668,Study,0,0,Low,0
49,Mexico,Canada,Masters,Unemployed,53164,Business,1,0,High,1
34,Mexico,Australia,Masters,Unemployed,43711,Tourist,2,0,High,1
34,Mexico,USA,Masters,Employed,74372,Work,2,0,Medium,1
44,Brazil,USA,Masters,Employed,60597,Business,3,0,Medium,1
48,India,Canada,Bachelors,Employed,28545,Business,1,0,Low,0
18,Philippines,Australia,HighSchool,Employed,42573,Tourist,3,0,High,1
46,Nigeria,UK,Masters,Unemployed,30779,Work,0,0,High,0
19,Nigeria,UK,Bachelors,Unemployed,19791,Business,2,0,Low,0
26,Nigeria,UK,HighSchool,Employed,96268,Tourist,2,0,High,1
37,Brazil,Germany,Masters,Employed,74424,Business,3,1,Low,0
21,Mexico,Canada,Masters,Employed,17524,Business,2,0,Medium,1
46,India,UK,Masters,Unemployed,18057,Tourist,2,0,High,0
37,India,Canada,Masters,Employed,86444,Work,1,0,High,1
43,Mexico,UK,Bachelors,Unemployed,96876,Tourist,0,0,Medium,0
44,India,USA,HighSchool,Employed,54585,Study,1,0,Low,0
22,Mexico,Canada,Masters,Employed,96838,Work,1,0,High,1
23,Mexico,Germany,Masters,Unemployed,70777,Study,2,0,Medium,1
18,Mexico,Australia,Bachelors,Unemployed,17103,Business,2,1,High,0
27,Philippines,UK,Masters,Employed,70066,Work,0,0,Low,0
45,Nigeria,USA,Bachelors,Employed,97342,Tourist,3,0,High,1
38,India,Germany,HighSchool,Employed,58936,Study,1,0,Medium,1
44,Brazil,USA,Masters,Unemployed,55308,Work,0,0,High,0
26,India,Germany,HighSchool,Employed,8051,Study,0,0,Medium,0
31,Nigeria,UK,Bachelors,Unemployed,59874,Work,2,0,Low,0
28,Philippines,USA,Masters,Employed,71273,Study,2,0,Medium,1
34,Philippines,Germany,Masters,Unemployed,49852,Business,2,0,High,1
40,Brazil,Australia,Bachelors,Employed,41593,Study,0,0,Medium,0
43,Philippines,USA,Bachelors,Unemployed,8270,Study,1,0,High,0
29,Philippines,USA,Masters,Employed,68829,Study,1,0,Medium,1
36,India,Canada,Bachelors,Employed,72376,Tourist,3,0,Low,1
48,Philippines,UK,HighSchool,Unemployed,27876,Tourist,3,0,High,0
38,Nigeria,Canada,HighSchool,Unemployed,35272,Work,2,1,Medium,0
43,Philippines,Germany,Bachelors,Unemployed,87148,Work,1,0,Low,0
37,Nigeria,Canada,Masters,Employed,48024,Business,2,0,Medium,1
29,India,Canada,Masters,Employed,88930,Study,3,0,Medium,1
21,Brazil,Germany,HighSchool,Employed,37270,Work,0,0,Medium,0
27,Philippines,UK,Masters,Employed,47015,Work,0,0,Low,0
26,Nigeria,Canada,Masters,Employed,40755,Tourist,1,0,Low,1
37,Mexico,USA,HighSchool,Employed,81691,Work,0,0,High,0
37,Philippines,Canada,HighSchool,Unemployed,61474,Tourist,0,0,High,0
38,India,Canada,HighSchool,Employed,30535,Tourist,1,0,Medium,0
32,India,USA,Bachelors,Employed,25741,Tourist,3,0,Medium,1
22,Mexico,USA,HighSchool,Employed,47861,Tourist,1,0,Medium,0
41,Philippines,Germany,HighSchool,Unemployed,65545,Study,0,1,High,0
34,Philippines,USA,Masters,Unemployed,50747,Business,1,0,High,1
34,Brazil,Australia,HighSchool,Employed,73412,Study,0,0,Low,0
24,Nigeria,UK,HighSchool,Unemployed,56007,Study,0,0,Low,0
25,Nigeria,Germany,Masters,Employed,6206,Tourist,2,0,High,1
41,India,UK,HighSchool,Employed,38090,Work,0,0,High,0
37,Nigeria,Germany,Masters,Employed,38135,Study,1,0,High,1
35,Mexico,Australia,Masters,Employed,46769,Work,1,0,High,1
44,Mexico,USA,HighSchool,Employed,7549,Business,1,0,Low,0
20,Brazil,Canada,Bachelors,Employed,17356,Study,0,0,Low,0
31,Nigeria,USA,HighSchool,Employed,22621,Tourist,3,0,Low,0
27,Brazil,Canada,HighSchool,Employed,8742,Tourist,1,0,Low,0
40,Nigeria,Germany,Masters,Unemployed,47725,Business,0,0,Low,0
44,Brazil,Canada,HighSchool,Employed,17142,Work,3,0,High,1
24,Nigeria,Canada,Masters,Employed,38698,Work,2,0,High,1
31,Brazil,UK,HighSchool,Unemployed,73015,Tourist,2,0,High,0
47,India,Germany,Bachelors,Employed,15013,Business,0,0,Medium,0
49,Mexico,USA,Masters,Employed,24397,Study,2,0,Low,0
28,India,Germany,HighSchool,Unemployed,21271,Study,0,0,Medium,0
45,Mexico,Canada,Masters,Unemployed,89917,Tourist,3,0,High,1
24,Nigeria,USA,Masters,Employed,39825,Business,2,0,Low,1
48,Mexico,USA,HighSchool,Employed,70112,Tourist,0,0,Medium,0
